sourceDomainId,targetDomainId,created,dataSources,type,updated
uniprot.Q4LEZ3,entrez.441376,2023-04-02T23:15:53.825000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.825000
uniprot.Q9BTE6,entrez.100885850,2023-04-02T23:15:53.825000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.825000
uniprot.Q9UDR5,entrez.10157,2023-04-02T23:15:53.825000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.825000
uniprot.Q8NHS2,entrez.137362,2023-04-02T23:15:53.825000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.825000
uniprot.P17174,entrez.2805,2023-04-02T23:15:53.825000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.825000
uniprot.Q9NY61,entrez.26574,2023-04-02T23:15:53.825000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.825000
uniprot.P00505,entrez.2806,2023-04-02T23:15:53.825000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.825000
uniprot.Q7Z5M8,entrez.145447,2023-04-02T23:15:53.825000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.825000
uniprot.Q96GS6,entrez.81926,2023-04-02T23:15:53.825000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.825000
uniprot.Q5VST6,entrez.51104,2023-04-02T23:15:53.825000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.825000
uniprot.Q6PCB6,entrez.58489,2023-04-02T23:15:53.825000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.825000
uniprot.Q7Z5R6,entrez.54518,2023-04-02T23:15:53.825000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.825000
uniprot.P31941,entrez.100913187,2023-04-02T23:15:53.825000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.825000
uniprot.Q9UH17,entrez.9582,2023-04-02T23:15:53.825000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.825000
